timeCounter,ExplicitTiming,CNTiming
0,0.0092632,0.0101981
1,0.0108919,0.007081
2,0.005454,0.0071713
3,0.006023,0.0063152
4,0.006355,0.0066234
5,0.0068391,0.0063941
6,0.006759,0.0090121
7,0.0086842,0.0086968
8,0.0117111,0.0067781
9,0.0064174,0.0072641
10,0.0052164,0.0071559
11,0.0056824,0.0061352
12,0.0061055,0.007058
13,0.0054216,0.0068045
14,0.0064628,0.0072483
15,0.0065867,0.0064886
16,0.0062542,0.0108546
17,0.0094264,0.0063958
18,0.0039311,0.0056814
19,0.0072368,0.0245247
20,0.0061237,0.0186289
21,0.0168393,0.0060383
22,0.0783968,0.0102679
23,0.0067543,0.0058428
24,0.0082647,0.0065304
25,0.0090918,0.0065746
26,0.0055844,0.0063892
27,0.0062022,0.0095126
28,0.0067874,0.0082989
29,0.0071739,0.0118392
30,0.0065103,0.0085849
31,0.0105526,0.0098306
32,0.0096179,0.0067666
33,0.0112682,0.0054311
34,0.0063842,0.0060934
35,0.0057824,0.0073876
36,0.0059076,0.0087786
37,0.0067617,0.0059531
38,0.0050168,0.0110102
39,0.0064008,0.0097517
40,0.0054898,0.0050751
41,0.0049542,0.0076824
42,0.0048116,0.0069549
43,0.0067899,0.0063113
44,0.0060295,0.0062445
45,0.0064304,0.006481
46,0.0071658,0.0104388
47,0.0073646,0.0081012
48,0.0093933,0.0065149
49,0.0102493,0.0070965
50,0.0073533,0.0076085
51,0.0055342,0.0060126
52,0.0106864,0.0090688
53,0.0060426,0.0070984
54,0.0055236,0.006704
55,0.0064403,0.0087285
56,0.0106099,0.0078824
57,0.0085055,0.0068898
58,0.0067554,0.0067212
59,0.0068616,0.0070681
60,0.0069116,0.0059108
61,0.007967,0.0070923
62,0.0082122,0.0086327
63,0.0063323,0.0089308
64,0.0060015,0.0041275
65,0.0098993,0.0095074
66,0.0063981,0.0073664
67,0.006256,0.0065069
68,0.0107556,0.0091032
69,0.0044205,0.0071096
70,0.0039588,0.0050362
71,0.0059745,0.0075659
72,0.0092877,0.0091518
73,0.0105919,0.0115972
74,0.00797,0.0041522
75,0.0045173,0.005576
76,0.0060675,0.0111931
77,0.0052775,0.0054557
78,0.0058191,0.0042718
79,0.0070183,0.0050343
80,0.0057253,0.0054067
81,0.0071371,0.0078682
82,0.0041165,0.0042578
83,0.0061068,0.0070542
84,0.0087499,0.005261
85,0.0053332,0.0042634
86,0.0046922,0.0046975
87,0.0040987,0.0055097
88,0.005783,0.0078034
89,0.004613,0.0081158
90,0.0049669,0.0063951
91,0.0051829,0.0061229
92,0.0087394,0.005642
93,0.0110152,0.0106879
94,0.0111757,0.0096073
95,0.0108988,0.0094313
96,0.006095,0.0053123
97,0.005607,0.0083416
98,0.0070823,0.0083977
99,0.0096923,0.0110775
